Name of document,Page no.,Text
Induction Training Module for ASHAs in Urban Areas English,134,"134
Induction Training Module for ASHAs in Urban AreasThey made several plans, but nothing worked and they gave up. These events gave 
strength to the women. All this happened only because the women united and 
struggled strongly to get rid of arrack from their village.
The story of Dubagunta spread in the form of an agitation to other parts of the 
district.
In the literacy classes of other villages teachers started sensitising the community 
through puppet shows about the problems caused by arrack. They also shared the story of Dubagunta village, with the result that women in other villages did the 
same.
The women in Dubagunta started a movement in which ultimately the situation 
changed for the better.
In 1991 was the beginning of the Anti-Arrack (local liquor) Movement, which finally 
led to the prohibition of alcohol in the state on 16 January 1995.
"
Induction Training Module for ASHAs in Urban Areas English,135,"135
Induction Training Module for ASHAs in Urban AreasAnnexure 4: Checklist for Assessing Quality of 
Services at Health Facilities
(This checklist is only for improving understanding of an ASHA on Public Health 
Care Services and how to assess their quality. ASHA along with MAS members 
can use it as a format for assessing the quality for services at health facilities)
Observation Checklist for Urban Phc
General Information
Name of the U-PHC:   ________________________________________________
Total population covered by the U-PHC:  ________________________________
Name of the City/ Area: ______________________________________________Availability of Infrastructure
l Is there a designated government building available for the U- PHC?  Yes/No
l Is the U-PHC working from rented building? Yes/No
l Is the building in working condition?  Yes/No
l Is water supply readily available in this U-PHC?  Yes/No
l Is electricity supply readily available in this U-PHC?  Yes/No
l Is there a telephone line available and in working condition?  Yes/No
Availability of Staff 
l Is a Medical Officer available/appointed at the U-PHC?  Yes/No
l Is a Staff Nurse available at the U-PHC?  Yes/No
l Is a lab technician available at the U-PHC? Yes/No
l Is ANM available at the U-PHC?  Yes/No
l Is support staff/attendant available?  Yes/No
General Services
Availability of Medicines
l Are the basic medicines available in the U-PHC? Yes/No
l Is Anti-rabies vaccine available in the U-PHC? Yes/No
l Are drugs for tuberculosis available in the U-PHC? Yes/No
Availability of Curative Services
l Is primary management of wounds done at this U-PHC?  Yes/No
l Is primary management of fracture done at this U-PHC?  Yes/No
l Is primary management of burns done at the U-PHC? Yes/No"
Induction Training Module for ASHAs in Urban Areas English,136,"136
Induction Training Module for ASHAs in Urban AreasReproductive and Maternal Care and Abortion Services
Availability of Reproductive and Maternal Health Services
l Are ante-natal clinics regularly organised by this U-PHC?  Yes/No
l Is facility for normal delivery available in the U-PHC? Yes/No
l Are internal examination and treatment for gynaecological 
 conditions and disorders like leucorrhoea and menstrual 
 disturbance available at the U-PHC?  Yes/No
l Is treatment for anaemia given to both pregnant as well as 
 non-pregnant women?  Yes/No
Child Care and Immunization Services
l Are low birth-weight babies treated at this U-PHC? Yes/No
l Are there fixed immunization days?  Yes/No/No information
l Are BCG and measles vaccine given at this U-PHC?  Yes/No
l Is treatment for children with pneumonia available at this U-PHC? Yes/No
l Is treatment of children suffering from diarrhoea with severe
 dehydration done at this U-PHC?  Yes/No
Laboratory and Epidemic Management Services
l Is laboratory service available at the U-PHC? Is blood examination
 for anemia done at this U-PHC? Yes/No
l Is detection of malaria parasite by blood smear examination 
 done at this U-PHC?  Yes/No
l Is sputum examination to diagnose TB conducted at this U-PHC? Yes/No
l Is urine examination of pregnant women done at this U-PHC?  Yes/No"
Induction Training Module for ASHAs in Urban Areas English,137,"137
Induction Training Module for ASHAs in Urban AreasFor example if you need to bring to the notice of the person concerned the 
conditions that deprive the women of the ANC services and also suggests 
solutions to overcome this problem. What should you do to write a clear, 
specific, effective letter?
Before starting to write an application/letter, you should:
l Have a clear subject in mind
l Know whom exactly it needs to be addressed to
l Have clarity on the reason for writing the letter 
Read the letter given below Annexure 5: Learning How to Write a Letter
Date
To   
___________(Name and address) 
Sub: request to organise UHND at two locations in the slum/area Dear CDHO (write the name of the concerned person): 
I am working as ASHA for the area________of________Block/District/City. My area has a 
population of________. The houses are scattered across the areas. The ANM regularly comes 
and organises UHND. However, it is organised at a place which is not accessible for all the 
pregnant women. A large number of women living on the other side of the area, are not able 
to attend the antenatal clinic, due to the distance. 
I suggest that the antenatal clinic may be conducted in two places of the area on 
different dates. I had a discussion about the same with the ANM. She informed me that 
she needs permission from you. I request you to look into this matter. As an ASHA I take the 
responsibility to bring all the pregnant women so they have their antenatal check-up.  
You are welcome to visit our area. 
Thank you. 
Yours sincerely, 
___________(write name of ASHA and the area)"
Induction Training Module for ASHAs in Urban Areas English,138,"138
Induction Training Module for ASHAs in Urban AreasAnnexure 6: Documenting a Meeting
Documentation of the Meeting
Date:     Time:     Venue:
Purpose of the meeting 
Members present during the meeting    Absent members
1) 
2) Decisions taken Action to be taken 
Actions Who will take Who will support 
it?Date of completion of the action
Signatures of the members 
This report needs to be appropriately filed and should be referred to during the next 
meeting, to review the progress."
Induction Training Module for ASHAs in Urban Areas English,139,"139
Induction Training Module for ASHAs in Urban AreasAnnexure 7: Skills Checklist: Hand Washing
Number of Practices
Checklist 1 2 3 4 5
l Remove bangles and wrist watch
l Wet hands and forearms up to elbow with clean water (Fig. 1)
l Apply soap and scrub forearms, hands and fingers 
(especially nails) thoroughly (Fig. 2 to 7)
l Rinse with clean water
l Air dry with hands up and elbow facing the ground (Fig. 8)
l Do not touch with your hands the ground, floor or dirty objects after washing your hands
Note: Use the checklist while observing the skills being implemented.
When a step is performed correctly, place a tick (
) in the box.
When a step is not performed correctly, place a cross (X) in the box.Make sure to review the steps where crosses appear, so that performance can be improved.
"
Induction Training Module for ASHAs in Urban Areas English,140,"140
Induction Training Module for ASHAs in Urban AreasTable A- Drug Dosage and Dispensing Schedule 
Sl. 
No.Medicine Action & Use Age Specific Dose Side effects 
1a) Tablet Paracetamol
1 tablet=500mgDuration: To be 
given for 3 days only
Frequency: 
Maximum four times a day at an interval of six hoursReduces fever and pain. Useful in fever, headaches, backaches, body aches etc.More than 12 years : 1 to 2 tablets 3 to 4 times a dayNo side effects. If too many tablets are taken at one time, it can cause damage to liver. Keep the medicine away from children. Should be taken only after meals.8 to 12 years : 1 tablet 3 to 4 times a day 
4 to 8 years : ½ tablet 3 to 4 times a day
2 months -3 years  
(Wt 4-14 kgs)- ¼ tab (One fourth); maximum four times a day
3 yrs -5 yrs. (Wt 14-19 kgs) -½ tab (Half 
tablet) –maximum four times a day.Content of ASHA Drug Kit Annexure 8: Drug kit; Dosage and Drugs Dosage and 
Dispensing Schedule
ORS
Paracetamol Tablet and syrupOral Contraceptive PillsCondomsIFAChloroquinePaediatric Cotrimoxazole syrup and 
tabletDicyclomine
AlbendazoleNischay KitThermometersBandagesCotton SwabBetadine; Gentian Violet"
Induction Training Module for ASHAs in Urban Areas English,141,"141
Induction Training Module for ASHAs in Urban AreasSl. 
No.Medicine Action & Use Age Specific Dose Side effects 
1b) Paracetamol syrup 
Duration: To be 
given for 3 days only
Frequency: 
Maximum four times a day at an interval of six hours.
5 ml or (1 tsp) 
Syrup=125 mg/5ml (Each 1 ml contains 25 mg of paracetamol)
Per kg dose of 
paracetamol=10-15mg/kg/doseNewborn<3kg;  1.25 ml or ¼ tsp (One fourth tea spoon)Same as above
>1 year (>3kg-8kg);  2.5 ml or ½ tsp (Half tea spoon)
1-3 yrs (>8-14 kgs);  
5 ml or 1 tsp (One tea spoon)
>3 yrs>14 kgs- 
7.5 ml or 1 ½ tsp (One and Half tea spoon)
2 Iron tablet (adult) 60mg elemental iron.Prevention of Anaemia and Anaemia treatment One tablet daily for 100 days, for prevention of anaemia.
Two tablets for 100 days for treatmentShould be taken after 
meals, Can cause stomach upset. Stool (motions) may be hard and black coloured. 
Paediatric IFA( 20 mg elemental iron). 
To be given for 14 
days in anaemic child and then reassessPrevention of Anaemia and Anaemia treatment in infants and children<4 months On doctor’s advice Side Effects: Constipation
In case of diarrhoea 
take doctor’s advice
In case of abdominal 
pain tablet should be consumed after food.4 months-12 months (Wt 6-10 Kg) 1 tab Once a day*
1 yr-3 yrs (Wt 10-14 Kg) 1½ tabs Once a 
day*
3 yrs-5 yrs (Wt 14-19 Kg) 2 tabs- once a 
day
*Can be increased on doctor’s advice
3 Albendazole Tablet Deworming Less than one year- not to be given. 1-2 years – half a tablet (400 mg) once 
a day 
More than 2 years- one tablet( 400 mg) 
once a daySide Effects: Dizziness in rare cases
Contra-indicated in 
child less than 1 year and in pregnancy"
Induction Training Module for ASHAs in Urban Areas English,142,"142
Induction Training Module for ASHAs in Urban AreasSl. 
No.Medicine Action & Use Age Specific Dose Side effects 
4a) Syrup Cotrimoxa-zole5ml or  (1 teaspoon) Syrup: Sulphamethoxazole 200 mg+ Trimetho-prim  40 mg
Duration: To be 
given for 5 daysFrequency: Two times a dayAcute Respira-tory infections in children andSepsisBirth upto<1 months (<3 kg) One fourth teaspoon syrup (1.25 ml)* Twice a dayRarely nausea, vomit-ing, stomatitis, rashes, headache.Caution: The dose is 5 to 8mg/Kg of Trimeth-oprim per day in two divided doses. Tablets come in 20mg.40mg, 80mg or some-times 160mg Trimeth-oprim. Depending on what tablet is given to you, you would be taught the number of tablets to be dis-pensed. *Avoid Cotrimoxazole in infants less than one month who are prema-ture or jaundiced1 month up to 2 months (3- 4 kg weight)½ teaspoon (2.5 ml) Twice a day
2 months-12 months (4-10 kgs weight)
Full teaspoon (5 ml) Twice a day
12 months-5 yrs (10-19 kgs weight)
2 Full teaspoon (10 ml) Twice a day 
4b) Tablet Cotrimoxa-zole
1 Tablet: Sul-
phamethoxazole 100 mg + Trimetho-prim  20 mg
Duration: To be 
given for 5 daysFrequency: Two times a dayAcute Respira-tory infections in children andSepsisFor Birth upto<1 months (less than 3 kg weight)- Tablet is not to be given.
1 month up to 2 months (3- 4 kg weight)
One tablet- Twice a day
2 months-12 months (4-10 kgs weight)- 
Two TabletsTwice a day
12 months-5 years (10-19 kgs weight)- 
Three TabletsTwice a day.
5 ORS packet Replaces salt and water in our bodyAs required. In adults: Half a glass after every stool.Throw ORS solution after 24 hours. Make it fresh. Do not use a packet if it is like a cake
In diarrhoea with no dehydration< Two months of age: five teaspoon full after every loose stool
2.1 months- 2 years of age - Half a cup 
after every loose stool (100 ml).
Older children can have up to one cup 
(200 ml) after every stool
In diarrhoea with dehydrationUp to 4 months; weight less than 6kg-200-400 ml or two cups
4 months-12 months; with weight 
between 6-10 kgs- 400-700 ml or three cups
12 months-2years; with weight between 
10-12kgs- 700-900 ml or five cups
2-5 years; with weight between 12-
19kgs- 900-1400 ml or seven cups"
Induction Training Module for ASHAs in Urban Areas English,143,"143
Induction Training Module for ASHAs in Urban AreasSl. 
No.Medicine Action & Use Age Specific Dose Side effects 
6 Gentian Violet liquidKills many germsFor application on wound inside mouth, vagina etcStains clothes. Let it dry before putting on clothes.
7 Antiseptic lotion/ointmentKills wound germsOnly for external use, wound wash etc can cause irritation if too much is used.
Table B– Side Effects of Common TB Drugs
Side effects Drug( Abbreviation) Management
Drowsiness Isoniazid(H) Reassure the patient
Red-orange urine, tears Rifampcin (R) Reassure the patient
Gastro-intestinal upset Any oral medication Reassure patient
Give drugs with less waterDo not give drugs on empty stomach
Severe itching Isoniazid(H) and other drugs Reassure patient;
Stop all drugs & Refer to MO
Burning in hands & feet Isoniazid(H) Refer to MO who will give pyrodoixine 
100mg/day till symptoms subside
Severe joint pains Pyrazinamide(Z) Refer to MO
Impaired vision Ethambutol STOP treatment & refer for evaluation
Jaundice Isoniazid(H)
Rifampcin(R)Pyrazinamide(Z)STOP treatment & refer for evaluation
Ringing in the ears Streptomycin(S) STOP Streptomycin and refer for 
evaluation
Loss of hearing Streptomycin(S) STOP Streptomycin and refer for evaluation
Dizziness & loss of balance Streptomycin(S) STOP Streptomycin and refer for evaluation"
Induction Training Module for ASHAs in Urban Areas English,144,"144
Induction Training Module for ASHAs in Urban AreasTable C- Treatment Guidelines for Malaria
Age-specific drug schedules
1. Chloroquine tablets (150 mg base)
Age (in years) Day 1 Day 2 Day 3
Tab. Chloroquine Tab. Chloroquine Tab. Chloroquine
<1 1/2 1/2 1/4
1-4 1 1 1/2
5-8 2 2 1
9-14 3 3 1+1/2
15 & above 4 4 2
2. Primaquine tablets (7.5 or 2.5 mg base)
Age (in years) P . falciparum P . vivax
Primaquine 0.75 mg/kg on day 1 Primaquine 0.25 mg/kg daily 
dose for 14 days*
mg base No. of Tablets 
(7.5 mg base)mg base No. of Tablets 
(2.5 mg base)
<1 Nil 0 Nil 0
1-4 7.5 1 2.5 1
5-8 15 2 5.0 2
9-14 30 4 10.0 4
15 & above 45 6 15.0 6
* Primaquine is contraindicated in children under one year and pregnant women.
3. Artesunate 50 mg tablets + Sulfadoxine-Pyrimethamine 500 + 25 mg 
tablets (ACT) combination
Age (in years) 1st Day  
(number of 
tabs)*2nd Day  
(number of 
tabs)3rd Day  
(number of 
tabs)
<1 Year* AS
SP1/2
1/41/2
Nil1/2
Nil
1-4 Yeas* AS
SP111
Nil1
Nil
5-8 Year* AS
SP2
1
1/22
Nil2
Nil
9-14 Year* AS
SP323
Nil3
Nil
15 and above AS
SP434
Nil4
Nil
* till such time as age-wise blister packs are made available for all age groups"
Induction Training Module for ASHAs in Urban Areas English,145,"145
Induction Training Module for ASHAs in Urban AreasAnnexure 9: Preparing Malaria Slide 
For preparation of blood smears following items are required: 
1. Clean glass slides
2. Disposable Lancet
3. Spirit or Cotton swab for cleaning the finger
4. Cotton
5. Clean piece of cotton cloth
6. Lead pencil
After the patient information has been recorded on the appropriate form, the 
blood films are made as under:
l Take a clean glass slide free from grease and scratches 
l Clean the finger of the patient using a spirit swab
Take the following steps for preparation of the blood smear
i. Select the second or third finger of the left hand 
ii. The site of the puncture is the side of the ball of the finger, not too close 
to the nail bed 
iii. Allow the blood come up automatically. Do not squeeze the finger.
iv. Hold the slide by its edges 
v. The size of the blood drop is controlled better if the finger touches the 
slides from below 
"
Induction Training Module for ASHAs in Urban Areas English,146,"146
Induction Training Module for ASHAs in Urban Areasvi. Touch the drop of blood with a clean slide, three drops are collected for 
preparing the thick smear.
vii. Touch another new drop of blood with the edge of a clean slide for 
preparing the thin smear.
viii. Spread the drop of blood with the corner of another slide to make a 
circle or a square about 1 cm
ix. Bring the edge of the slide carrying the second drop of blood to the 
surface of the first slide, wait until the blood spreads along the whole edge
x. Holding it at an angle of about 45
o push it forward with rapid but not 
too brisk movement
xi. Write with a pencil the slide number on the thin film, Wait until the 
thick film is dry. The thin film is always used as a label to identify the patient. 
Remember 
l The blood should not be excessively stirred. Spread gently in circular or 
rectangular form with 3 to 6 movements. 
l The circular thick film should be about 1 cm (1/5 inch) in diameter.
l Allow the thick film to dry with the slide in the flat, level position protected 
from flies, dust and extensive heat.
l Label the dry thin film with a soft lead pencil by writing in the thicker 
portion of the film the blood slide number and date of collection
The lancet and cotton swab should be disposed off.
"
Induction Training Module for ASHAs in Urban Areas English,147,"147
Induction Training Module for ASHAs in Urban AreasAnnexure 10: Technique for Performing Rapid 
Diagnostic Test
Procedure
l Check that the test kit is within its expiry date. If not discard it. Read the 
instructions of the test kit, as there may be minor variations in the procedure 
between different kits. Place a small box, jar or bottle for trash next to the kit.
l Open a foil pouch and check that the desiccant inside it is still blue. If not, 
discard the test.
l Remove the test strip and the small glass tube or loop from the foil pouch and place them on a clean dry surface.
l Take out the buffer solution and the dropper. Place a new test tube in the multiple well plate.
l Clean a finger with the swab and let the skin dry completely in the air. Prick finger on the side with a lancet. Place lancet in trash container. Let a drop of 
blood come out on the skin.
l Touch the tip of the glass tube or the loop to the blood drop on the finger 
and let a small quantity of blood (a small drop) come up in the tube or the 
loop.
l Touch the tube or the loop to the test strip just below the arrow mark to 
place the blood there. If there is a paper, where Plasmodium falciparum is 
written, remove it and place the blood, where it was. Place tube/loop in trash 
container.
l Using the dropper, place 4 drops of buffer solution into a new test tube. After this, place the test strip containing blood in the buffer solution with 
the arrow pointing down. While waiting, a slide can be prepared.
Materials in the Rapid Diagnostic Test kit
l Spirit (alcohol) swab (one for each patient)
l Disposable Lancet (one for each patient)
l Capillary tube (one for each patient)
l Test strip (one for each patient)"
Induction Training Module for ASHAs in Urban Areas English,148,"148
Induction Training Module for ASHAs in Urban Areasl One multiple well plastic plate
l Test tube (one for each patient)
l Buffer solution or reagent solution
l Desiccant 
Observe after 15 minutes – if any red line does not appear in the test strip then 
the test strip is not working: discard it and use another one.
l If a single red line appears, it is not falciparum malaria. If two red lines 
appear, the test result is falciparum malaria.
l The test should be read 15 to 20 minutes after blood was taken. Earlier or later readings may lead to false results.
l Place test strip and test tube in trash container. Make sure this container is kept out of reach of children. When it is full, if in a area, bury it in the ground, 
or send it with the MPW to the U-PHC for safe disposal."
Induction Training Module for ASHAs in Urban Areas English,149,"149
Induction Training Module for ASHAs in Urban AreasAnnexure 11: Instructions for Pregnancy Test using 
Nischay Kit
The Nischay Kit contains the following:
l A test card
l A disposable dropper
l A moisture absorption packet (not required for testing)
l Collect the morning urine in a clean and 
dry glass or in a plastic bottle.
l Take two drops of urine in the sample well.
l Wait for 5 minutes.
l If two violet colour lines come in the test region (T), the woman is pregnant.
l If she wants to continue with the pregnancy, advise her to undergo 
antenatal care.
l If she does not want to continue with the 
pregnancy this time, advise her for safe 
abortion.
l If the violet colour line in the test 
region (T) is one only, the woman is not 
pregnant.
l Tell her about family planning methods 
and help her in choosing the most 
appropriate one.
l If there is no colour line in the test region 
(T), repeat the test next morning using a 
new Pregnancy Test Card.
"
Induction Training Module for ASHAs in Urban Areas English,150,"150
Induction Training Module for ASHAs in Urban AreasIntroduction
In order to identify and reach the marginalized and vulnerable groups in urban 
areas, ASHA will need to assess “Vulnerability” of the households/individuals 
in her area. Therefore, this tool is designed to help the ASHA in identifying 
vulnerable households/individuals. The tool is divided into five sections. The first three sections contain 17 indicators/variables which assess the extent of 
residential, social and occupational vulnerability of the household. Section IV 
collects the information on the health status and health seeking behavior of the households. Each variable is given three scores as 0,1 and 2. Zero being the 
lowest/worst case. Then, the cumulative scores are computed and based on 
the scores, the household is categorized into one of three categories i.e Most Vulnerable, Highly Vulnerable and Vulnerable. The last section simple lists the 
vulnerable groups, so that if the surveyed household/individual belongs to 
any one of the category, ASHA can tick and mention the category directly for prioritization and follow up action. 
-----------------------------------------------------------------------------------------------------------
Household Information:
l Address/location: 
l Respondent Details:
l Date of survey:
l Name of the ASHA/MAS member:
-----------------------------------------------------------------------------------------------------------
Section I- Residential Vulnerability
1. Slum Status
0 Homeless shelters/roadside/railway tracks
1 Unauthorized Settlement/ Land belonging to local authority/Leased Land
2 Own land/ authorized quarters/Registered slumAnnexure 12: Vulnerability Assessment Tool for ASHAs"
Induction Training Module for ASHAs in Urban Areas English,151,"151
Induction Training Module for ASHAs in Urban Areas2. Migration status
0 Seasonal/ Recent migration (Less than one year)
1 Living in the area from last few years (1 to 5 years) 
2 Living in the area from more than 5 years
3. Location of the household
0 Hazardous location besides dumping ground, polluted water, railway line or 
airport
1 Slum dwelling with high population density, poor ventilation, limited space
2 Adequate ventilation and space
4. Housing
0 Kutcha house with weak structure, No separate space for cooking, minimal  ventilation
1 Fairly pucca but with mud/ tin roof and non-cemented walls/brick walls with plastic or thatch roof; marginally better than earlier category
2 Permanent structure, ventilation present, separate space for cooking
5. Basic Services: Toilet
0 No toilet, defecation in the open by all-men, women and children
1 Use common/community toilet, do not have bath facilities
2 Majority have private/defined space for bathing and toileting
6. Basic Services: Water
0 No piped water supply, use community taps/ tankers etc, irregular supply
1 Use community taps or hand pumps, have regular water supply
2 Have individual water pipe
7. Basic Services: Drainage
0 No drains, clogged drains with open pits
1 Open drains-kutcha or pucca
2 Underground connected drains and paved roads
8. Electricity
0 No electricity connection at all
1 Illegal electricity connection
2 metered individual electricity connection"
Induction Training Module for ASHAs in Urban Areas English,152,"152
Induction Training Module for ASHAs in Urban AreasSection II- Social Vulnerability
9. Type of Family
0 Child Headed household/Women headed household/Single parent family/
Single male
1 Nuclear Family with only one earning member with informal employment
2 Joint family with one earning member with regular income or more than one earning member with regular or irregular incomes 
10. Social Support Mechanisms
0 Living far from the family, no social support available at all
1 Living alone in the area but people from your community are living nearby
2 Living with family 
11. Disability status
0 Member with chronic disability /debilitating illness like TB, AIDS, Cancer, Kidney failure
1 Household member suffering from mild impairment but functional
2 No member with disability
12. Identity Proof
0 Do not have any documents 
1 Have at-least one legal documents (BPL Card, Ration card, voter ID, Aadhar 
Card etc)
2 Have all the necessary documents 
13. Episodes of harassment by any groups in power
0 Very often
1 Rarely
2  Not at all
14. Nutrition
0 Children are not enrolled in Anganwadi centre (AWC) and no access to PDS 
ration
1 Government ration not available but children are enrolled in Anganwadi centre
2 Children enrolled in AWC and access to PDS/Government ration"
Induction Training Module for ASHAs in Urban Areas English,153,"153
Induction Training Module for ASHAs in Urban Areas15. Education: Children and Adults
0 Children in the household do not attend school and adults are illiterate
1 Young children going to school but drop out in other children, adults with  
minimum/functional literacy
2 All children pursuing elementary education and adults also have minimum  
elementary condition
Section III- Occupational Vulnerability
16. Employment Pattern
0 Daily wage earner with irregular pattern, daily wages below Rs 150
1 Daily wage earner with regular employment, daily wages upto 150-500
2 Regular employment or irregular employment with daily wages more than Rs 500
17. Occupational Conditions
0 Hazardous working conditions like rag picking, sex trade, mining, recycling waste collectors, construction workers, engaged in bidi making, matchbox 
making
1 Engaged in unskilled and semi-skilled jobs like street vendors, casual 
laborers, domestic workers
2 Private or government regular job with monthly wages, shopkeepers
Section IV- Health Related Vulnerability
18. Proximity to the health facility
0 more than 2 kilometers
1 within the range of 2 km
2 Less than 1 km
19. Status of Health and Health Services
0 Reported history of maternal death / child death/death due to TB, Malaria or other infectious diseases in last five years
1 Poor health status of the family/individual eg. Reported cases of diarrhea, TB or any other disease
2 No case of illness at the time of survey"
Induction Training Module for ASHAs in Urban Areas English,154,"154
Induction Training Module for ASHAs in Urban Areas20. ANM visit
0 Never
1 Once in 3 months
2 Monthly
21. Health Seeking
0 Do not take treatment in case of illness 
1 Go to local practitioners/quacks/stores
2 Go to government facilities/registered private doctor
Cumulative Scoring
0-15= Most vulnerable
16-30= Highly Vulnerable
31-42= Vulnerable
Section V- Categorization
Tick if you find the households/families falling in any of these 
categories:
o Rag Picker
o Rickshaw puller
o Head loaders
o Construction workers
o Daily wage laborers
o Homeless 
o People involved in Begging
o Domestic workers
o Elderly poor
o Widow/deserted women
o Women/child headed household
o Differently Abled"
Induction Training Module for ASHAs in Urban Areas English,155,"155
Induction Training Module for ASHAs in Urban Areaso Debilitating illnesses- HIV/AIDS, TB, Leprosy etc.
o Sex workers
o Street Children
o Trans-genders
o Sanitary workers
o People with mental illness
o People living in institutions like night shelters, homeless recovery shelters, 
beggars home, leprosy homes
o Any other, Please specify ______________________"
Induction Training Module for ASHAs in Urban Areas English,156,
Induction Training Module for ASHAs in Urban Areas English,157,
Induction Training Module for ASHAs in Urban Areas English,158,"Induction 
Training Module
for ASHAs 
in Urban Areas"
Menstrual Hygiene Reading Material For ASHA,1,"1 Menstrual Hygiene: Reading Material for ASHA
Contents
I.  Background 3
II.  Objec/g415  ves of the Training 4
III.  About Menstrua/g415  on 4
IV. What are the Problems that a Girl may Encounter During 
Menstrua/g415  on? 6
V.  Menstrual Hygiene, Use and Disposal of Sanitary Napkins  7VI.  Key ac/g415  vi/g415 es to Promote Menstrual Hygiene 10"
Menstrual Hygiene Reading Material For ASHA,2,
Menstrual Hygiene Reading Material For ASHA,3,"3 Menstrual Hygiene: Reading Material for ASHAI. Background
Why a programme on Menstrual Hygiene?
Good menstrual hygiene is essen/g415  al for the health and dignity of girls and women. 
Discussions on menstrual hygiene are important for adolescent girls to clarify exis/g415  ng 
myths and misconcep/g415  ons around menstrua/g415  on. Improving menstrual hygiene is 
important from the point of view of personal comfort and increased mobility. It also reduces the likelihood of infec/g415  ons resul/g415  ng from poor hygiene prac/g415  ces during 
menstrua/g415  on. Providing girls with knowledge and skills on maintaining menstrual 
hygiene improves school a/g425  endance among girls, who otherwise may not a/g425  end 
school during those days or even drop out of school altogether. 
How to promote Menstrual Hygiene? 
Promo/g415  ng menstrual hygiene is achieved through: 
/circle6 Provision of health educa/g415  on to girls and women on menstrua/g415  on and 
menstrual hygiene
/circle6 Increasing community ac/g415  on to improve access to clean toilets with water, both 
at home and in schools
/circle6 Promo/g415  ng the availability and use of sanitary products
/circle6 Enabling safe disposal of sanitary products
Who can promote Menstrual Hygiene?
Menstrual Hygiene can be promoted in the community and in schools. It is best to 
start with adolescent girls; although, other women in the reproduc/g415  ve age group 
would also beneﬁ  t from the informa/g415  on and access to sanitary products. ASHA, the 
Anganwadi Workers (AWWs), and the members of women’s Self Help Groups (SHGs) can make a substan/g415  al diﬀ  erence to menstrual hygiene prac/g415  ces in the community.  
As an ASHA, you already have the advantage of being in close contact with women 
in the community. This will be helpful in providing informa/g415  on on menstrual hygiene 
and sanitary products contained in this booklet to adolescent girls and women in the community. As a member of the Village Health and Sanita/g415  on Commi/g425  ee (VHSC) 
and in working with members of the Panchayat, you can promote toilets in homes, and ensure separate toilets for girls in local schools. Members of women’s SHGs can support and assist you in encouraging menstrual hygiene and promo/g415  ng the use of 
sanitary napkins in the community. Sanitary napkins can be made locally by SHGs using a simple technology. You can encourage the groups in your village to take "
Menstrual Hygiene Reading Material For ASHA,4,"4 Menstrual Hygiene: Reading Material for ASHA
up this ac/g415  vity. Further informa/g415  on is available in the oﬃ   ces of the District Health 
Society and the District Collector. 
II. Objec/g415  ves of the Training
At the end of the training you will learn the following:
/circle6 The basic elements of menstrua/g415  on and menstrual hygiene
/circle6 Proper use and safe disposal of sanitary napkins
/circle6 How to communicate the beneﬁ  ts of sanitary napkins and mo/g415  vate girls 
in the use of sanitary napkins
/circle6 Ensuring a regular supply of sanitary napkins in your community
/circle6 Recording and repor/g415  ng the uptake of sanitary napkins
Understanding Menstrua/g415  on and Problems during 
menstrua/g415  on
Menarche:  The onset of puberty, when the girl has her ﬁ  rst period is known as 
Menarche. Menarche may take place between 9-16 years of age. During this period, most girls observe bleeding for the ﬁ  rst /g415  me from the vagina. This bleeding becomes 
a periodic occurrence in a girl’s life with the cycle of bleeding observed in a gap of 28-40 days.  
Menstrua/g415  onWhy does menstrua/g415  on occur?
Girls have thousands of eggs in their ovaries when they are 
born. Every month, or about once in 21-40 days, one of the eggs leaves one of the ovaries, and travels through a fallopian tube. When the egg leaves the ovary, this is called ovula/g415  on. 
As the egg travels in the fallopian tube, a so/g332   spongy lining 
gets formed within the uterus. This lining is mostly made of /g415 ny blood vessels.In case an egg and sperm meet to form an 
embryo, or a baby, that begins to grow in the uterus and the lining will provide the nutri/g415  on. If the egg is not joined by a 
sperm, the lining of the uterus begins to break. The blood that is released from the broken lining, ﬂ  ows out of the vagina. 
This bleeding is the menstrual period. This whole cycle is called menstrua/g415  on.III. About Menstrua/g415  on"
Menstrual Hygiene Reading Material For ASHA,5,"5 Menstrual Hygiene: Reading Material for ASHAA menstrual cycle lasts from the ﬁ  rst day of one period to the ﬁ  rst day of the next. 
The typical cycle of an adult female is 28 days, although some are as short as 22 days and as long as 45 days. Periods usually last about 3-7 days, which can vary too. During a period, a woman passes about 2-4 tablespoons (30-59 millilitres) of menstrual blood.
Days 1-7
Days 8-14
Days 15-28
If the egg is not fer/g415  lised, the uterus wall  
con/g415  nues to thicken un/g415  l there is a sudden drop 
in hormone levels. The lining breaks down, and the 
next period begins.The period is considered the beginning of the menstrual cycle. 
A period normally lasts for around ﬁ  ve days, but can be 
as short as two days or as long as seven. There is usually 
around 2-6 tablespoons of blood lost during each period, depending on the heaviness of the ﬂ  ow. A period occurs 
because the uterus will shed its lining if an egg (ovum) is not 
fer/g415 lised.
One of the ovaries releases an egg and the 
uterus begins to rebuild its lining. Only 
one egg is released in each cycle. The 
egg slowly travels down the fallopian 
tube from the ovaries towards the uterus. If the egg is fer/g415  lised by a 
sperm before it arrives the uterus, the girl becomes pregnant."
