question,answer,theme,keywords,Name of Document,Page no.
What are the results of poor communication?,"The results of poor communication include mistrust, unrealistic expectations, patients not getting an opportunity to complete unfinished work in life, increased patient distress and anger, lack of cooperation, and increasing demands from the patient.",Results of poor communication,"['results', 'poor communication', 'mistrust', 'unrealistic expectations', 'patients', 'unfinished work', 'increased patient distress', 'anger', 'lack of cooperation', 'increasing demands']",Palliative Care Training Manual for ASHA at AB-HWC,"[11, 12]"
What are the barriers in communication?,"The barriers in communication include fear of upsetting the patient, fear of causing more harm than good, unsure about answering difficult questions, afraid of saying 'I don't know', unable to handle patient's emotions, unable to improve the situation, fear of being blamed, lack of common language, and lack of time.",Barriers in communication,"['barriers', 'communication', 'fear', 'upsetting', 'patient', 'causing harm', 'answering difficult questions', 'afraid', ""saying 'I don't know'"", ""handling patient's emotions"", 'improving the situation', 'being blamed', 'lack of common language', 'lack of time']",Palliative Care Training Manual for ASHA at AB-HWC,"[11, 12]"
What are the problems in patient's communication?,"The problems in patient's communication include thinking that the healthcare workers are busy, only being asked about physical issues and not about their emotional problems, being afraid of not being able to control their emotions, being afraid of the truth, and not understanding medical terms.",Problems in patient's communication,"['problems', ""patient's communication"", 'healthcare workers', 'busy', 'physical issues', 'emotional problems', 'afraid', 'controlling emotions', 'afraid of the truth', 'not understanding', 'medical terms']",Palliative Care Training Manual for ASHA at AB-HWC,"[11, 12]"
What are the basic steps of communication?,"The basic steps of communication are preparation, questioning, active listening, and responding.",Basic steps of communication,"['basic steps', 'communication', 'preparation', 'questioning', 'active listening', 'responding']",Palliative Care Training Manual for ASHA at AB-HWC,"[11, 12]"
What are the benefits of good communication?,"The benefits of good communication include reducing uncertainty, improving relationships, preventing unrealistic hope, allowing appropriate adjustment, providing personal satisfaction, guiding and giving direction to patients and families, and ensuring compliance.",benefits of good communication,"['benefits', 'good communication', 'reducing uncertainty', 'improving relationships', 'preventing unrealistic hope', 'allowing appropriate adjustment', 'providing personal satisfaction', 'guiding', 'giving direction', 'patients', 'families', 'ensuring compliance']",Palliative Care Training Manual for ASHA at AB-HWC,"[11, 12]"
What are the results of poor communication?,"The results of poor communication include mistrust, unrealistic expectations, patients not getting an opportunity to complete unfinished work in life, increased patient distress and anger, lack of cooperation, and increasing demands from the patient.",results of poor communication,"['results', 'poor communication', 'mistrust', 'unrealistic expectations', 'patients', 'unfinished work', 'increased patient distress', 'anger', 'lack of cooperation', 'increasing demands']",Palliative Care Training Manual for ASHA at AB-HWC,"[11, 12]"
What are the barriers in communication?,"The barriers in communication include fear of upsetting the patient, fear of causing more harm than good, unsure about answering difficult questions, afraid of saying 'I don't know', unable to handle patient's emotions, unable to improve the situation, fear of being blamed, lack of common language, and lack of time.",barriers in communication,"['barriers', 'communication', 'fear', 'upsetting the patient', 'causing more harm than good', 'answering difficult questions', ""saying 'I don't know'"", ""handling patient's emotions"", 'improving the situation', 'being blamed', 'lack of common language', 'lack of time']",Palliative Care Training Manual for ASHA at AB-HWC,"[11, 12]"
What are the problems in patient's communication?,"The problems in patient's communication include thinking that the healthcare workers are busy, only being asked about physical issues and not about their emotional problems, being afraid of not being able to control their emotions, being afraid of the truth, and not understanding medical terms.",problems in patient's communication,"['problems', ""patient's communication"", 'thinking', 'healthcare workers', 'busy', 'physical issues', 'emotional problems', 'afraid', 'not being able to control their emotions', 'truth', 'not understanding medical terms']",Palliative Care Training Manual for ASHA at AB-HWC,"[11, 12]"
What are the basics steps of communication?,"The basic steps of communication are preparation, questioning, active listening, and responding.",basics steps of communication,"['basics steps', 'communication', 'preparation', 'questioning', 'active listening', 'responding']",Palliative Care Training Manual for ASHA at AB-HWC,"[11, 12]"
What is the source of Figure 5.1?,"Handbook for Health Care Workers, National Programme for Palliative Care",source,"['Figure 5.1', 'Handbook for Health Care Workers', 'National Programme for Palliative Care']",Palliative Care Training Manual for ASHA at AB-HWC,"[12, 13]"
What are the barriers to communication shown in Figure 5.1?,Not mentioned in the text,barriers to communication,"['Figure 5.1', 'Not mentioned in the text']",Palliative Care Training Manual for ASHA at AB-HWC,"[12, 13]"
What is the source of Figure 5.2?,Not mentioned in the text,source,"['Figure 5.2', 'Not mentioned in the text']",Palliative Care Training Manual for ASHA at AB-HWC,"[12, 13]"
What are the basic steps of communication?,"Preparation, Questioning, Active Listening, Responding",basic steps of communication,"['Preparation', 'Questioning', 'Active Listening', 'Responding']",Palliative Care Training Manual for ASHA at AB-HWC,"[12, 13]"
What is non-verbal communication?,"Maintain eye contact, Posture- lean forward attentively. Don’t tap your feet or twiddle thumbs, Facial expression, tone of voice should match the patient’s, Reassuring touch, if appropriate, Ask open questions - encourage the patients to talk about the problems",non-verbal communication,"['Maintain eye contact', 'Posture- lean forward attentively', 'Don’t tap your feet or twiddle thumbs', 'Facial expression', 'tone of voice should match the patient’s', 'Reassuring touch', 'if appropriate', 'Ask open questions - encourage the patients to talk about the problems']",Palliative Care Training Manual for ASHA at AB-HWC,"[12, 13]"
How should one start a conversation?,"Ask the patient how he/she came, who has come with him/her, What brings them here?, Is she/he comfortable?, Provide privacy, Note the patient’s emotional tone (non-verbal & verbal), Find out about the patients’ issues, Willingness to know about the treatment, Discuss with the patient what the patient wants to know",Starting a conversation,"['Ask', 'patient', 'came', 'brings', 'comfortable', 'privacy', 'emotional tone', 'issues', 'treatment', 'wants to know']",Palliative Care Training Manual for ASHA at AB-HWC,"[12, 13]"
How should one respond at the end of the communication?,"Summarize whatever the patient/family told you, Prioritize the problems from the patient’s side",Ending a communication,"['Summarize', 'patient', 'family', 'prioritize', 'problems']",Palliative Care Training Manual for ASHA at AB-HWC,"[12, 13]"
What are the steps for planning follow-up?,"Understand patient’s problems and what is most important for them, Make a care plan, Explain the plan, Prepare for the worst while hoping for the best, Identify other support sources and include them in summary, Summarize",Planning follow-up,"['Understand', 'patient', 'problems', 'important', 'care plan', 'explain', 'worst', 'best', 'support sources', 'summary']",Palliative Care Training Manual for ASHA at AB-HWC,"[12, 13]"
What are some key points to remember?,"Talk less, listen more, Encourage the patient to talk, Remove distractions like mobile phone, Be patient, tolerate silences, Hold your temper, Don’t argue or criticize, Ask questions to clarify and check understanding, Do not interrupt unnecessarily",Key points to remember,"['Talk less', 'listen more', 'Encourage', 'patient', 'talk', 'Remove distractions', 'mobile phone', 'patient', 'tolerate silences', 'Hold', 'temper', 'Don’t argue', 'criticize', 'Ask questions', 'clarify', 'check understanding', 'interrupt unnecessarily']",Palliative Care Training Manual for ASHA at AB-HWC,"[12, 13]"
What is the Figure 7 about?,Non pharmacological management of breathlessness,Non-pharmacological management of breathlessness,"['Figure 7', 'non-pharmacological management', 'breathlessness']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
What do patients often fear when experiencing breathlessness?,Patients often fear suffocating to death.,Fear associated with breathlessness,"['patients', 'fear', 'suffocating', 'death']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
Are there medicines available to prevent and treat breathlessness in dying patients?,"Yes, there are medicines available to help prevent and treat breathlessness in the dying.",Medicines for preventing and treating breathlessness in dying patients,"['medicines', 'prevent', 'treat', 'breathlessness', 'dying']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
What should be done to plan for future steps in case a patient has advanced illness?,It is good to plan for future steps in case the patient has advanced illness.,Planning for future steps in advanced illness,"['plan', 'future steps', 'advanced illness']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
What should the family be advised regarding emergency medicines for breathlessness?,The family should be advised on emergency medicines available with help from the palliative team.,Advising family on emergency medicines for breathlessness,"['family', 'advise', 'emergency medicines', 'breathlessness', 'palliative team']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
Who should be contacted for advice regarding breathlessness?,The doctor should be called or referred to for advice regarding breathlessness.,breathlessness,"['contacted', 'advice', 'breathlessness', 'doctor']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
What is nausea?,Nausea is an unpleasant feeling of the need to vomit.,nausea,"['nausea', 'unpleasant feeling', 'vomit']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
What is vomiting?,Vomiting is the forceful throwing out of stomach contents through the mouth.,vomiting,"['vomiting', 'forceful throwing', 'stomach contents', 'mouth']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
"What causes more misery, nausea or vomiting?",Nausea causes more misery than vomiting.,misery,"['misery', 'nausea', 'vomiting']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
What are some non-pharmacological management strategies for nausea?,"Some non-pharmacological management strategies for nausea include creating a calm, reassuring environment away from the sight and smell of food, avoiding exposure to foods that precipitate nausea, having small frequent meals, and consuming cold food instead of hot food.",non-pharmacological management strategies,"['non-pharmacological management strategies', 'nausea', 'calm', 'reassuring environment', 'food', 'small frequent meals', 'cold food', 'hot food']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
How can bad smell from a wound be controlled to manage nausea?,Control of bad smell from wound can help manage nausea.,wound care,"['bad smell', 'wound', 'control', 'manage', 'nausea']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
What is constipation?,"Constipation is the difficult or painful passing of stools, with less number of stools that are hard.",constipation,"['constipation', 'difficult', 'painful', 'passing', 'stools', 'hard']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
What percentage of palliative care patients are constipated?,About 45% of palliative care patients are constipated.,constipation,"['percentage', 'palliative care patients', 'constipated']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
What are some causes of constipation?,"Some causes of constipation include immobility leading to decreased peristalsis, decreased food intake, low fiber diet, poor fluid intake or increased fluid loss, inability to raise intra-abdominal pressure, inability to reach toilet on time, opioids (90% of patients taking opioids need laxatives), embarrassment in public place, and pain (fissure in anal area).",constipation,"['causes', 'constipation', 'immobility', 'decreased peristalsis', 'decreased food intake', 'low fiber diet', 'poor fluid intake', 'increased fluid loss', 'inability to raise intra-abdominal pressure', 'inability to reach toilet on time', 'opioids', 'laxatives', 'embarrassment', 'public place', 'pain', 'fissure', 'anal area']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
What is the importance of being able to get to the toilet in managing constipation?,Being able to get to the toilet may be more important than laxatives in managing constipation.,constipation,"['importance', 'toilet', 'managing', 'constipation', 'laxatives']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
What position helps in managing constipation?,A squatting position helps in managing constipation.,constipation,"['position', 'managing', 'squatting']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
What should patients be encouraged to do in terms of diet and fluid intake for managing constipation?,"As far as possible, patients should be encouraged to eat a normal balanced diet and drink plenty of fluid, but this may not be possible in palliative care patients.",constipation,"['patients', 'encouraged', 'diet', 'fluid intake', 'managing']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
What is diarrhea?,Diarrhea is defined as the passage of three or more loose stools in 24 hours.,diarrhea,"['defined', 'passage', 'loose stools']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
"Which is more common, diarrhea or constipation, in patients requiring palliative care?",Constipation is more common than diarrhea in patients requiring palliative care.,constipation,"['common', 'diarrhea', 'patients', 'requiring', 'palliative care']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
What are some general measures for managing diarrhea?,"Some general measures for managing diarrhea include increasing fluid intake through frequent sipping of water, home-made ORS, dal water, lemon water, or coconut water, and providing reassurance that most diarrhea is self-limiting.",diarrhea,"['general measures', 'managing', 'increasing fluid intake', 'frequent sipping', 'reassurance', 'self-limiting']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
When should the doctor be consulted for specific drug treatment for diarrhea?,The doctor should be consulted for specific drug treatment for diarrhea.,specific drug treatment for diarrhea,"['doctor', 'consulted', 'specific drug treatment', 'diarrhea']",Palliative Care Training Manual for ASHA at AB-HWC,"[16, 17]"
What are some possible causes of constipation?,"Poor fluid intake or increased fluid loss (vomiting, diarrhoea), inability to raise intra-abdominal pressure (general weakness, paraplegia), inability to reach toilet on time, opioids (90% of patients taking opioids need laxatives), embarrassment in public place, pain (fissure in anal area)",Causes of Constipation,"['Poor fluid intake', 'increased fluid loss', 'inability to raise intra-abdominal pressure', 'general weakness', 'paraplegia', 'inability to reach toilet on time', 'opioids', 'embarrassment in public place', 'pain', 'fissure in anal area']",Palliative Care Training Manual for ASHA at AB-HWC,"[17, 18]"
What is the non-pharmacological management for constipation?,"Being able to get to the toilet may be more important than laxatives, timing and privacy, straining damages pelvic muscles, a squatting position helps, as far as possible patients should be encouraged to eat a normal balanced diet and drink plenty of fluid, but this may not be possible in palliative care patients",Non-pharmacological Management for Constipation,"['Being able to get to the toilet', 'laxatives', 'timing and privacy', 'straining damages pelvic muscles', 'squatting position', 'normal balanced diet', 'drink plenty of fluid', 'palliative care patients']",Palliative Care Training Manual for ASHA at AB-HWC,"[17, 18]"
What should be done for severe constipation?,Consult the doctor,Severe Constipation,['Consult the doctor'],Palliative Care Training Manual for ASHA at AB-HWC,"[17, 18]"
How is diarrhea defined?,Diarrhea is defined as the passage of three or more loose stools in 24 hours,Definition of Diarrhea,['passage of three or more loose stools in 24 hours'],Palliative Care Training Manual for ASHA at AB-HWC,"[17, 18]"
What are some general measures for diarrhea?,"Increase fluid intake-frequent sipping of water / Home-made ORS / Dal water / Lemon water/ Coconut water, reassurance that most diarrhea is self-limiting",General Measures for Diarrhea,"['Increase fluid intake', 'frequent sipping of water', 'Home-made ORS', 'Dal water', 'Lemon water', 'Coconut water', 'reassurance that most diarrhea is self-limiting']",Palliative Care Training Manual for ASHA at AB-HWC,"[17, 18]"
What should be done for specific drug treatment for diarrhea?,Consult the doctor,specific drug treatment for diarrhea,"['specific', 'drug treatment', 'diarrhea']",Palliative Care Training Manual for ASHA at AB-HWC,"[17, 18]"
What are the key universal precautions to be followed during caring for the patient?,List key universal precautions to be followed during caring for the patient,universal precautions,"['universal precautions', 'caring', 'patient']",Palliative Care Training Manual for ASHA at AB-HWC,"[17, 18]"
What are the steps of hand washing?,Demonstrate steps of hand washing in a simulated setting,hand washing,"['steps', 'hand washing']",Palliative Care Training Manual for ASHA at AB-HWC,"[17, 18]"
What are the steps of bed making?,Describe the steps of bed making,bed making,"['steps', 'bed making']",Palliative Care Training Manual for ASHA at AB-HWC,"[17, 18]"
How can saline be prepared at home?,Describe the method for preparing saline at home,preparing saline at home,"['saline', 'prepared', 'home']",Palliative Care Training Manual for ASHA at AB-HWC,"[17, 18]"
How can supplies be sterilized at home?,Describe the techniques for sterilizing supplies at home,Sterilizing supplies at home,"['supplies', 'sterilized', 'home', 'techniques']",Palliative Care Training Manual for ASHA at AB-HWC,"[17, 18]"
What are the key issues to be addressed while caring for a bedridden patient?,Describe the key issues to be addressed while caring for a bedridden patient,Caring for a bedridden patient,"['key issues', 'addressed', 'caring', 'bedridden patient']",Palliative Care Training Manual for ASHA at AB-HWC,"[17, 18]"
How can bed sores be prevented?,Describe the steps for prevention of bed sores,Prevention of bed sores,"['bed sores', 'prevented', 'steps', 'prevention']",Palliative Care Training Manual for ASHA at AB-HWC,"[17, 18]"
How can a fungating wound be managed in a home care setting?,Describe the management of fungating wound in home care setting,Managing fungating wound in home care setting,"['fungating wound', 'managed', 'home care setting']",Palliative Care Training Manual for ASHA at AB-HWC,"[17, 18]"
What is the purpose of caring for the hair and giving a head bath?,"To keep the hair clean and healthy, to promote the growth of hair",Caring for hair and giving a head bath,"['purpose', 'caring', 'hair', 'head bath', 'clean', 'healthy', 'promote', 'growth']",Palliative Care Training Manual for ASHA at AB-HWC,"[17, 18]"
What are the measures to prevent pressure sores?,"The measures to prevent pressure sores include using normal saline for cleaning and irrigating the wound, removing dead tissues and scab, using moist dressing material, maintaining daily hygiene, assessing skin integrity, changing the position of patients with poor mobility every 2-4 hours, positioning of pillows, padding bony prominences for protection, using water bed or air mattress, and educating the family about care procedures.",Preventing Pressure Sores,"['measures', 'prevent', 'pressure sores', 'normal saline', 'cleaning', 'irrigating', 'wound', 'removing', 'dead tissues', 'scab', 'moist dressing material', 'maintaining daily hygiene', 'assessing skin integrity', 'changing position', 'patients', 'poor mobility', 'positioning pillows', 'padding bony prominences', 'protection', 'water bed', 'air mattress', 'educating family', 'care procedures']",Palliative Care Training Manual for ASHA at AB-HWC,"[23, 24]"
What should be used for cleaning and irrigating the wound to prevent pressure sores?,Normal saline should be used for cleaning and irrigating the wound to prevent pressure sores.,Cleaning and Irrigating Wound,"['cleaning', 'irrigating', 'wound', 'prevent', 'pressure sores', 'normal saline']",Palliative Care Training Manual for ASHA at AB-HWC,"[23, 24]"
What should be done to prevent damaging granulation tissue while changing the dressing for pressure sores?,Moist dressing material should be used to prevent damaging granulation tissue while changing the dressing for pressure sores.,Preventing Damage to Granulation Tissue,"['prevent', 'damaging', 'granulation tissue', 'changing dressing', 'pressure sores', 'moist dressing material']",Palliative Care Training Manual for ASHA at AB-HWC,"[23, 24]"
What are the points to remember for pressure sore care?,"The points to remember for pressure sore care include maintaining daily hygiene with sponge bath, shower, hair care, and shave, trimming nails, maintaining a hygienic environment such as clean clothing and bedlinen, assessing skin integrity especially pressure points, changing the position of patients with poor mobility every 2-4 hours, positioning of pillows, avoiding massage at pressure points, padding bony prominences for protection, using water bed or air mattress, and educating the family about care procedures.",Pressure Sore Care,"['points to remember', 'pressure sore care', 'maintaining daily hygiene', 'sponge bath', 'shower', 'hair care', 'shave', 'trimming nails', 'hygienic environment', 'clean clothing', 'bedlinen', 'assessing skin integrity', 'pressure points', 'changing position', 'patients', 'poor mobility', 'positioning pillows', 'avoiding massage', 'padding bony prominences', 'protection', 'water bed', 'air mattress', 'educating family', 'care procedures']",Palliative Care Training Manual for ASHA at AB-HWC,"[23, 24]"
What is the key to preventing constipation?,Prevention is the key to preventing constipation.,Preventing Constipation,"['key', 'preventing constipation']",Palliative Care Training Manual for ASHA at AB-HWC,"[23, 24]"
What should be done to reduce the risk of constipation?,Regular exercise should be encouraged to reduce the risk of constipation.,constipation,"['reduce', 'risk', 'regular exercise']",Palliative Care Training Manual for ASHA at AB-HWC,"[23, 24]"
What should be encouraged to intake for preventing constipation?,Intake of fiber-rich diet and fluids should be encouraged to prevent constipation.,constipation,"['encouraged', 'intake', 'fiber-rich diet', 'fluids', 'prevent']",Palliative Care Training Manual for ASHA at AB-HWC,"[23, 24]"
What should be done to maintain pressure relief on proper supporting surfaces?,Proper positioning and frequent posture change should be done to maintain pressure relief on proper supporting surfaces.,pressure relief,"['maintain', 'proper positioning', 'frequent posture change', 'supporting surfaces']",Palliative Care Training Manual for ASHA at AB-HWC,"[23, 24]"
What is the purpose of bed making?,"The purpose of bed making is to provide comfort for patients confined to bed, change wet/soiled linen for bedridden patients, maintain a neat appearance and clean environment, and provide a smooth wrinkle-free bed foundation to minimize sources of skin irritation.",bed making,"['purpose', 'provide comfort', 'change wet/soiled linen', 'neat appearance', 'clean environment', 'smooth wrinkle-free bed foundation', 'minimize sources of skin irritation']",Palliative Care Training Manual for ASHA at AB-HWC,"[23, 24]"
What is the procedure for bed making?,"The procedure for bed making includes washing hands, removing extra pillows, loosening the top bedding, positioning the patient on the side, cleaning and rolling the mackintosh, fan folding the bottom sheet, dusting the mattress, applying clean bottom linen, fan folding the bottom sheet towards the patient, and tucking the hanging sheets on the sides.",bed making,"['procedure', 'washing hands', 'removing extra pillows', 'loosening the top bedding', 'positioning the patient on the side', 'cleaning and rolling the mackintosh', 'fan folding the bottom sheet', 'dusting the mattress', 'applying clean bottom linen', 'fan folding the bottom sheet towards the patient', 'tucking the hanging sheets on the sides']",Palliative Care Training Manual for ASHA at AB-HWC,"[23, 24]"
What should be used for cleaning and irrigating the wound to prevent pressure sores?,Normal saline should be used for cleaning and irrigating the wound to prevent pressure sores.,wound care,"['cleaning', 'irrigating', 'wound', 'prevent', 'pressure sores', 'normal saline']",Palliative Care Training Manual for ASHA at AB-HWC,"[23, 24]"
What should be done to prevent damaging granulation tissue while changing the dressing for pressure sores?,Moist dressing material should be used to prevent damaging granulation tissue while changing the dressing for pressure sores.,dressing change,"['prevent', 'damaging', 'granulation tissue', 'changing', 'dressing', 'pressure sores', 'moist dressing material']",Palliative Care Training Manual for ASHA at AB-HWC,"[23, 24]"
What are the points to remember for pressure sore care?,"The points to remember for pressure sore care include maintaining daily hygiene with sponge bath, shower, hair care, and shave, trimming nails, maintaining a hygienic environment such as clean clothing and bedlinen, assessing skin integrity especially pressure points, changing the position of patients with poor mobility every 2-4 hours, positioning of pillows, avoiding massage at pressure points, padding bony prominences for protection, using water bed or air mattress, and educating the family about care procedures.",pressure sore care,"['points to remember', 'pressure sore care', 'maintaining daily hygiene', 'sponge bath', 'shower', 'hair care', 'shave', 'trimming nails', 'maintaining hygienic environment', 'clean clothing', 'bedlinen', 'assessing skin integrity', 'pressure points', 'changing position', 'patients with poor mobility', 'positioning of pillows', 'avoiding massage', 'pressure points', 'padding bony prominences', 'protection', 'using water bed', 'air mattress', 'educating family', 'care procedures']",Palliative Care Training Manual for ASHA at AB-HWC,"[23, 24]"
What is the key to preventing constipation?,Prevention is the key to preventing constipation.,constipation prevention,"['key', 'preventing constipation', 'prevention']",Palliative Care Training Manual for ASHA at AB-HWC,"[23, 24]"
What should be done to reduce the risk of constipation?,Regular exercise should be encouraged to reduce the risk of constipation.,constipation risk reduction,"['reduce', 'risk', 'constipation', 'regular exercise', 'encouraged']",Palliative Care Training Manual for ASHA at AB-HWC,"[23, 24]"
What should be encouraged to intake for preventing constipation?,Intake of fiber-rich diet and fluids should be encouraged to prevent constipation.,Preventing Constipation,"['intake', 'fiber-rich diet', 'fluids', 'prevent', 'constipation']",Palliative Care Training Manual for ASHA at AB-HWC,"[23, 24]"
What should be done to maintain pressure relief on proper supporting surfaces?,Proper positioning and frequent posture change should be done to maintain pressure relief on proper supporting surfaces.,Maintaining Pressure Relief,"['proper positioning', 'frequent posture change', 'maintain', 'pressure relief', 'proper supporting surfaces']",Palliative Care Training Manual for ASHA at AB-HWC,"[23, 24]"
What is the purpose of bed making?,"The purpose of bed making is to provide comfort for patients confined to bed, change wet/soiled linen for bedridden patients, maintain a neat appearance and clean environment, and provide a smooth wrinkle-free bed foundation to minimize sources of skin irritation.",Bed Making,"['purpose', 'bed making', 'provide comfort', 'patients confined to bed', 'change wet/soiled linen', 'maintain', 'neat appearance', 'clean environment', 'smooth wrinkle-free bed foundation', 'minimize sources of skin irritation']",Palliative Care Training Manual for ASHA at AB-HWC,"[23, 24]"
What is the procedure for bed making?,"The procedure for bed making includes washing hands, removing extra pillows, loosening the top bedding, positioning the patient on the side, cleaning and rolling the mackintosh, fan folding the bottom sheet, dusting the mattress, applying clean bottom linen, fan folding the bottom sheet towards the patient, and tucking the hanging sheets on the sides.",Procedure for Bed Making,"['procedure', 'bed making', 'washing hands', 'removing extra pillows', 'loosening the top bedding', 'positioning the patient on the side', 'cleaning and rolling the mackintosh', 'fan folding the bottom sheet', 'dusting the mattress', 'applying clean bottom linen', 'fan folding the bottom sheet towards the patient', 'tucking the hanging sheets on the sides']",Palliative Care Training Manual for ASHA at AB-HWC,"[23, 24]"
What is the competency being described?,Demonstrate the ability to undertake home care visit,Competency,"['described', 'undertake', 'home care visit']",Palliative Care Training Manual for ASHA at AB-HWC,"[26, 27]"
What are the specific learning objectives?,"To describe the concept of home care, enumerate the contents of home care kit, enlist the criteria to identify patients/families who need home care, enumerate Do's and Don'ts during home care visit, describe the role of neighbors/volunteers in home care, document home care visit using suitable format, and demonstrate the steps of communication",Learning Objectives,"['describe', 'concept', 'home care', 'enumerate', 'contents', 'home care kit', 'enlist', 'criteria', 'identify', 'patients/families', 'need', 'home care', 'enumerate', ""Do's"", ""Don'ts"", 'home care visit', 'describe', 'role', 'neighbors/volunteers', 'home care', 'document', 'home care visit', 'suitable format', 'demonstrate', 'steps', 'communication']",Palliative Care Training Manual for ASHA at AB-HWC,"[26, 27]"
What is the activity mentioned in the text?,Recalling the story of Ms. Savitri,Activity,"['mentioned', 'text', 'Recalling', 'story', 'Ms. Savitri']",Palliative Care Training Manual for ASHA at AB-HWC,"[26, 27]"
Why can't Ms. Savitri go to a hospital?,"Her husband is the only earning member of the family and he cannot afford to miss work. Also, her children are too small to take her to the hospital.",Reason for not going to hospital,"['Ms. Savitri', 'go', 'hospital', 'husband', 'earning member', 'family', 'afford', 'miss work', 'children', 'small', 'take']",Palliative Care Training Manual for ASHA at AB-HWC,"[26, 27]"
Can Ms. Savitri be provided care at her own home?,"Yes, she can be provided care at her own home.",Care at own home,"['Ms. Savitri', 'provided', 'care', 'own home']",Palliative Care Training Manual for ASHA at AB-HWC,"[26, 27]"
What are the advantages of home-based palliative care?,"The advantages include comfort, privacy, familiarity with surroundings, security, autonomy, a greater degree of independence, and cost-effectiveness.",Advantages of home-based palliative care,"['comfort', 'privacy', 'familiarity', 'surroundings', 'security', 'autonomy', 'independence', 'cost-effectiveness']",Palliative Care Training Manual for ASHA at AB-HWC,"[26, 27]"
What are some additional advantages of home care?,"Some additional advantages of home care include easy access to care, more effective caring, access to complementary services, maintaining confidentiality, spreading awareness in the community, and mobilizing local resources.",Additional advantages of home care,"['easy access', 'more effective caring', 'complementary services', 'confidentiality', 'spreading awareness', 'mobilizing local resources']",Palliative Care Training Manual for ASHA at AB-HWC,"[26, 27]"
What is the aim of home care?,"The aim is to address the ""Total Pain"" of patients and their care givers and improve the quality of life of the patients and their relatives.",Aim of home care,"['Total Pain', 'patients', 'care givers', 'quality of life', 'relatives']",Palliative Care Training Manual for ASHA at AB-HWC,"[26, 27]"
What is the composition of a Home Care Team?,"The Home Care Team consists of professionals trained in Palliative Care, including a Medical officer, a community Health Officer, a Nurse, Multipurpose Health Worker (Female/Male), and a community volunteer. The composition of the team can be decided based on the type of patients during the visit.",Composition of a Home Care Team,"['professionals', 'Palliative Care', 'Medical officer', 'community Health Officer', 'Nurse', 'Multipurpose Health Worker', 'community volunteer', 'type of patients']",Palliative Care Training Manual for ASHA at AB-HWC,"[26, 27]"
How does a Home Care function?,"Each team caters for an area served by the Sub Health Centre - Health and Wellness Centre or Primary Health Centre - Health and Wellness Centre. ASHA identifies bed-ridden patients and others needing palliative care and offers home care visits. The first visit to the patient's home takes 2 hours and addresses urgent issues. Patients are categorized into high, middle, and low priorities and visited accordingly.",Function of Home Care,"['Sub Health Centre', 'Health and Wellness Centre', 'Primary Health Centre', 'ASHA', 'bed-ridden patients', 'palliative care', 'home care visits', 'urgent issues', 'high, middle, and low priorities']",Palliative Care Training Manual for ASHA at AB-HWC,"[26, 27]"
What are the services provided as part of home care?,"The services that can be provided as part of home care include nursing care, symptom management, bereavement support, resource mobilization, psychological support, social support, spiritual support, and end of life care.",home care services,"['nursing care', 'symptom management', 'bereavement support', 'resource mobilization', 'psychological support', 'social support', 'spiritual support', 'end of life care']",Palliative Care Training Manual for ASHA at AB-HWC,"[26, 27]"
Why are local support groups and volunteers mobilized to support patients and caregivers?,Local support groups and volunteers are mobilized to support patients and caregivers because they may know or have personal ties with the affected people and it is easier for neighbors to help each other than travel long distances.,Support Groups and Volunteers,"['local support groups', 'volunteers', 'patients', 'caregivers', 'neighbors', 'help']",Palliative Care Training Manual for ASHA at AB-HWC,"[27, 28]"
What is the aim of home care?,"The aim of home care is to address the ""Total Pain"" of patients and their caregivers and improve the quality of life of the patients and their relatives.",Home Care,"['aim', 'home care', 'total pain', 'patients', 'caregivers', 'quality of life', 'relatives']",Palliative Care Training Manual for ASHA at AB-HWC,"[27, 28]"
